ID,Name,Description,Class
16,天生尤物、纖纖飲、珍珠美人計、哺乳媽咪、燕窩酵素果凍、美國機場專屬,「直接10公斤給他瘦下來…抑制食慾…20天從48-46(瘦還要更瘦)…〉佐以皮尺女性丈量腰身…一天就掉了1.5kg(前、後體重測量圖片)」,1
17,纖先暢輕盈美麗勁爆價專案,「檢測證實能有效：不僅能排除體內老廢堆積及促進腸胃蠕動，還能有效抑制脂肪吸收87%抑制脂肪蓄積92%促進脂肪燃燒97%...證實能有效抑制食慾與體重控制增加達23%、能有效促進燃燒代謝增加2倍...李芳雯口述：...減肥真的很簡單，不知不覺就瘦了！一個月瘦8公斤，完全不復胖，燃燒脂肪很快！褲子鬆了！！，完全不復胖」,1
18,纖先暢輕盈美麗勁爆價專案,「李芳雯口述：...減肥真的很簡單，不知不覺就瘦了！一個月瘦8公斤，完全不復胖，燃燒脂肪很快！褲子鬆了！！，完全不復胖...檢測證實能有效：不僅能排除體內老廢堆積及促進腸胃蠕動，還能有效抑制脂肪吸收87%抑制脂肪蓄積92%促進脂肪燃燒97%」,1
19,纖先暢輕盈美麗勁爆價專案,「挑戰10天鑑賞期降5-8公斤...李芳雯口述：...減肥真的很簡單，不知不覺就瘦了！一個月瘦8公斤，完全不復胖，燃燒脂肪很快！褲子鬆了！！，完全不復胖...檢測證實能有效：不僅能排除體內老廢堆積及促進腸胃蠕動，還能有效抑制脂肪吸收87%抑制脂肪蓄積92%促進脂肪燃燒97%」,1
20,醇萃皙飲養顏美容逆齡獨家專案,「對抗老化/活化，淡化各類黑色素、消除皺紋健康回春，喝了可以減17%的皺紋...經由美國藥物管理局功效證實1.活化人體抗老化基因。2.淡化去除各類黑色素。3.撫平紋路。4.延緩更年期」,1
21,LAC回原皙膠囊60顆,「擊退黑深層淨化，重現宛如新生般的無暇感...淨透光擊退暗沉，綻放閃耀動人的晶燦光茫...調節亮密集修護，感受前所未有的活力亮采...還原皙告別瑕疵」,1
22,三倍Omega-3、天然葉黃素、益生菌+果寡糖、天然紅花籽油、百立明粉末飲品、松樹皮菁華、回原膠原蛋白-胎盤飲品、優鎂鈣,「(三倍Omega-3)循環順暢...思緒清晰好靈活...(天然葉黃素)清晰好視野...(益生菌+果寡糖)好菌打擊壞菌...(天然紅花籽油)S曲線更明顯，告別小腹人...(百立明粉末飲品)抗氧化...提升視野舒適感...(松樹皮菁華)超強抗氧化...(回原膠原蛋白-胎盤飲品)青春肌...逆齡美肌...(優鎂鈣)脊椎圖樣」「傲旎全球股份有限公司(地址：臺北市中山區中山北路2段81號)」,1
23,GNC健安喜LACFull-Cal優鎂鈣,「鈣太少可能會造成的症狀包括手指麻木、刺痛、肌肉痙攣、抽搐、嗜睡、食慾降低，心律不整。如果不及時治療，缺鈣會導致死亡。長期下來，鈣的攝取量不足會導致骨質疏鬆，骨折的風險也增加了，還會引起駝背症。鈣缺乏導致骨質疏鬆，據統計，65歲以上的老年人，每4個人中就有1人罹患骨質疏鬆症，其中以高齡者與停經後婦女為主要族群...不易造成脹氣及便秘等問題」,1
24,GNC健安喜LACFull-Cal優鎂鈣,「鈣太少可能會造成的症狀包括手指麻木、刺痛、肌肉痙攣、抽搐、嗜睡、食慾降低，心律不整。如果不及時治療，缺鈣會導致死亡。長期下來，鈣的攝取量不足會導致骨質疏鬆，骨折的風險也增加了，還會引起駝背症。鈣缺乏導致骨質疏鬆，據統計，65歲以上的老年人，每4個人中就有1人罹患骨質疏鬆症，其中以高齡者與停經後婦女為主要族群...不易造成脹氣及便秘等問題」,1
25,纖先暢輕盈美麗勁爆價專案,「挑戰10天鑑賞期，降5-8公斤...抑制脂肪吸收、抑制脂肪蓄積...李芳雯口述：減肥真的很簡單，不知不覺就瘦了！1個月瘦8公斤，完全不復胖，燃燒脂肪很快！褲子鬆了！！完全不復胖」,1
26,GNC健安喜LACFull-Cal優鎂鈣,「鈣太少可能會造成的症狀包括手指麻木、刺痛、肌肉痙攣、抽搐、嗜睡、食慾降低，心律不整。如果不及時治療，缺鈣會導致死亡。長期下來，鈣的攝取量不足會導致骨質疏鬆，骨折的風險也增加了，還會引起駝背症。鈣缺乏導致骨質疏鬆，據統計，65歲以上的老年人，每4個人中就有1人罹患骨質疏鬆症，其中以高齡者與停經後婦女為主要族群...不易造成脹氣及便秘等問題」,1
27,雞蛋油(卵磷脂),「心臟會喘，對～（主詞人回答）啊嘿吼，你ㄟ雞蛋油足好用，雞蛋油吼（主詞人回答），我軋你扛二罐，有時安捏～安捏貢不太能喘氣，我聽你在講扛一罐來呷，結果呷ㄚ昧完，這真濟人報（主詞人回答）吼足最啊（好很多了）這真濟人報，後來扛第二罐，那罐這罵我呷到快要完了，我這罵攏昧啊捏（意指現在心臟都不會喘了），你叫他呷那個就好了，你ㄟ雞蛋油足好用ㄟ，心臟不會胡北喘...今天推出呼作卵磷脂古早～卡早式ㄟ老大人攏說蛋油，因為古早人呷真多，細款落起炒ㄟ硬炒ㄟ炒軋臭灰塔，那個做蛋油軋出來ㄟ，那個就已經很好了，你昧軋想，現在不是，因為人發現說那個臭塔呷久可能ㄟ得細款ㄟ，所以攏用生物科技機器特殊ㄟ精密儀器ㄎㄧ軋測，萃～軋萃取出來，所以特殊啦～這就是某扛款ㄟ技術，我們是全國熊介強ㄟ67.37ㄟ成份，就等於兩倍的成份以上以上，所以不惜成本就是要給人家呷糖份、傷口很好」,1
28,悅心多多：腸胃專家,：「悅心多多：腸胃專家、悅心鈣：元素補充、悅心菌解藍藻：營養來源、悅心御鳳儀：后妃御用、悅心淨顏：排毒養顏」「乳酸菌的功效?習慣性便祕、腹瀉...細菌感染引起的下痢、腸胃發炎...嬰幼兒、綠便、吐奶、胃腸脹氣...乳糖不耐症的改善?預防病原菌感染，遠離腸病毒...延緩老化達到養顏美容的功效...促進消化...強化免疫能力...膽固醇、三酸甘油脂、血壓過高的改善?清血、預防血栓、血液凝塊、腦中風」,1
29,凍齡美肌懶人包(30天份),「凍齡美肌懶人包(30天份)、熱賣預購中-雪櫻美白懶人包、脂肪再見懶人包(30天份)、輪班星人懶人包(30天份)、考試黑馬懶人包(30天份)」「?抗氧化……?抗老化…給肝臟一個喘息的空間…日本穀胱甘?成分支援肝臟修補工作…法國天然綜合B群…支援每日身體一直無法卸除的疲憊感…日本雪櫻美白精萃…提升抗氧化力，打擊惱人黑色素…幫助你對抗肌膚3大敵人：紫外線、發炎、自由基，讓你由內在開透亮」,1
30,「AllysianMastermind愛力思－思維寶」、「AllysianGenesis愛力思－創健寶」、「AllysianOmega愛力思－奧美加60顆裝」、「AllysianSinless愛力思－智尊巧克力」、「Allysian愛力思－有機濃縮普洱茶／黑咖啡」,「減少疲勞感...#壓力大#記性差#注意不集中#精神不好#睡眠不好#淺眠#失智#老人癡呆#阿茲海默#健忘#情緒控管#焦慮#憂鬱...#循例寧...是由獨立的第三方使用雙盲和安慰劑對照試驗作臨床驗証...純天然」,1
31,[BSN]肌酸(309g/罐),「增強肌肉爆發力…促進肌肉的生長」,1
32,【碧荷柏】馬齒莧苦瓜菁華膠囊,「年節肥…閃澱高手斷開一切…超級閃澱阻糖配方…喔女神喔大嬸」,1
33,麴酵素、綜合穀物麴酵素錠、日本悠悠館綜合麴酵素,燃燒脂肪抑制脂肪生成消除腹部贅肉...不可思議!-5.1減重kg!...對於減肥也擁有很好的效果...而且麴酵素驚人效果的秘密養成容易變瘦不容易變胖的身體!!秘密1添加成分不同耐解蛋白屬於天然的食物纖維，屬於不容易被消化分解的蛋白，不僅具有幫助清除老廢物的效果外、還可以吸附油質一起排出體外，更可以降低食慾，連腸道菌叢也可以獲得改善。...無須忍耐即能消除腹部贅肉...竟然『一星期後就減輕了1.5公斤!』到這樣的年紀，還能如此無負擔減重...本來中年肥胖的部位，好像也變細許多。...在那之後也沒有復胖，自然而然達成1個月瘦4公斤的目標!...不用在意吃飯的量，幾乎每天都排便順暢，不在煩惱腰的肥肉了」,1
34,「Neocell二型膠原蛋白～關節保健～含玻尿酸、軟骨素120caps」、「美國代購～Ddrops成人液體維他命D3,「健康結締組織、軟骨支持...2型膠原蛋白是軟骨組織中的關鍵結構蛋白，隨著年齡的增長而惡化...NeoCell膠原蛋白2包括骨素和透明質酸用於關節潤滑…服用」,1
35,「青春不老丹」、「泛美頂級奈米珍珠粉」及「珍珠粉」,「台灣『最頂級奈米』珍珠粉..延緩老化美化肌膚...使肌膚細嫩光澤...珍珠粉可安神(安定神經)...幫助記憶力」,1
36,【BIOline星譜生技】GABA舒壓好眠(10顆/盒),「情緒舒悅…GABA幫助您抗壓力…GABA讓性格壓抑的日本國民看見樂活新希望…興奮…抑制」「情緒舒悅…高單位GABA即舒緩情緒的重要因子…興奮…抑制」,1
37,B精準輔療系列、A靶向養生系列（珍菌王）,：「B精準輔療系列、A靶向養生系列（珍菌王）、專利牛樟芝精華飲、專利牛樟芝滴粒，內容述及略以：「(B精準輔療系列)治療貧血與促進傷口癒合之藥物用途等多項專利…(A靶向養生系列)…抑制脂肪細胞蓄積油滴之藥物用途等多項專利」,1
38,Tulloch澳洲花粉,「抗菌及降低膽固醇等功效..消除疲勞…保護肌膚，幫助細胞再生..治療皮膚過敏…對於肺部組織有抗發炎的功效，預防氣喘…提升免疫系統…強化毛細管及血管，幫助血液循環…對於攝護腺肥大的治療有益，能減緩發炎」,1
39,納豆膠原益菌素、益生乳酸菌BL-22、,：「.溶解血栓、防止血栓形成...能夠有效溶解血栓之天然酵素。實驗證實，納豆激?能夠在腸胃道中維持其活性，可明顯縮短血栓溶解時間並增加血栓溶解面積，進而有效防止因血栓過度累積所導致的腦栓塞、心肌梗塞以及血流障礙等病變的發生...調節動脈硬化、高血壓及高膽固醇...會阻止血管收縮素（Angiotensin）被活化，以防止高血壓發生...抗氧化作用...能夠清除體內活性氧（Reactiveoxygenspecies，ROS）之酵素，可以防止因ROS破壞所造成的細胞損傷，以降低細胞癌化、動脈硬化等疾病的發生並減緩老化現象...減少微血管受損...對於眼部疾病，像是飛蚊症與白內障具有良好的作用，能夠防止血栓形成、減少微血管的受損...抗菌用」,1
40,齊夯諾、康酵寶、康膳寶,「年輕十歲的神奇分子…諾貝爾醫學獎肯定一氧化氮對心腦血管、性功能障礙、神經和免疫系統有強大的護癒力…抑轉三高…保性福」「康酵寶」「讓您輕鬆解油膩、調血脂、遠離三高…順暢護心、找回年輕」「康膳寶」「就是要讓你輕鬆享瘦零負擔…低升糖指數（GI）…減少脂肪產生…減少飢餓感…瘦下來…降低飢餓感…康膳寶只可以拿來做減重嗎…康膳寶可以幫你做體重管理，不論是增加或是減少，所以康膳寶並不限於體重管理」,1
41,好速纖HELASLIM,「內臟減脂來成功瘦身…僅僅只需3個月，經臨床實驗證實：腹部脂肪面積大幅減少15.3cm2（平方公分）…短時間內瘦下10公斤，連腰圍也都能減少將近5公分左右…能夠燃燒脂肪的保健食品『好速纖=HELASLIM』…消除脂肪…日本肥胖預防…對抗腹部的脂肪…抑制肝臟內脂肪的生成…分解白色脂肪…預防發胖…使體溫上升，協助減肥效果並且還能消耗掉卡路里…『抑制』、『分解』、『燃燒』脂肪的三重功效…才吃了兩天就瘦下1kg了，好驚人」「帶走腹部脂肪…像我吃了4個月，測出來內臟脂肪從7減到5.9，體脂肪減了5%，體重減了6.8公斤…經過科學證明真的可以減少腹部脂肪…減肥…阻斷…希望下一秒小腹就消失不見」,1
42,帝王食補甲魚精、膠原蛋白、活力神氧,「帝王食補甲魚精...健康食品之王...把握今天的機會，趕快撥打服務電話0800-588133」「真善美」「膠原蛋白、活力神氧」「(膠原蛋白)...膠原蛋白要有二種成分，一是玻尿酸，如果有關節炎、關節症、退化性關節炎，會去醫院注射玻尿酸，因為玻尿酸讓關節潤滑，讓骨漿黏度有夠，關節如果潤滑不會磨損，我們軟骨不會受傷，我們不會痛，走路很輕鬆，玻尿酸配合膠原蛋白來使用非常好，對皮膚也非常好，另一種成分是白藜蘆醇...法國人因心血管產生疾病比美國人少，因為法國人愛喝紅酒和白酒，紅酒有紅酒多酚，白酒有白藜蘆醇，經過研究可以降低心血管疾病，因為白酒是白葡萄去做的，葡萄籽可以抗氧化，最好的成分在皮，葡萄籽的皮富含白藜蘆醇，可以降低心血管疾病，對於免疫、泌尿道或長壞東西的問題，它都可以有輔助或幫助的效果，這是白藜蘆醇...(活力神氧)...有5種人的血管無法放鬆，因為他們內皮細胞無法放鬆，需要補充一氧化氮，糖尿病、高血壓、抽菸、肥胖、工作壓力大、生活不正常、上班族、三高、喝酒，要維持一氧化氮純度要運動，要補充一氧化氮食物，我們把血管分成外皮和內皮，血管要擴充一定要血管內皮放鬆，如果內皮緊張，血管無法放鬆，內皮細胞要放鬆...外面太多有一氧化氮精氨酸產品，因為它有效果會被稱讚，我們東西叫活力神氧...除了精氨酸，我們這是左旋精氨酸以外，還有左旋新精氨酸，會增加產生一氧化氮的量，還會讓純度不跑掉，另外巿面上專門降血酸、膽固醇，納豆、紅麴這二個是好朋友，有加乘效果，還有Q10幫助心臟之發電機，讓我們心臟功能更好，才不會心臟老化，最後是攜帶式氧氣筒，是西藏高氧植物叫紅景天，是受保護的帝王之草，共6味叫活力神氧這成分比單獨精氨酸更有價值，更全方位，更好...(主持人)只有一氧化氮就不得了，再加上這5樣法寶，是天下無敵，心血管疾病就再見了...服務電話0800588133」,1
43,BeeZin康萃_全日防護_雪白丸_亞瑪勁台灣旗艦館、BeeZin康萃_瑞莎代言_非洲芒果_奇亞籽飲_亞瑪勁台灣旗艦館,「..亮白...祛黑...連太陽也認輸的的耐曬體質...可降低斑點、暗沉的累積...可阻止麥拉寧形成，使白皙效果加強...世界最高抗氧化力...4步驟亮白淡斑(附組織圖)...藥理大學功效性評估...斑點減少20%...徹底打擊髒黑暗沉...主要應用領域肌膚眼睛關節循環女性認知呼吸(附圖)...複合性超強抗氧化劑...臨床研究...促進膠原蛋白、彈性蛋白、玻尿酸的增生」「BeeZin康萃_瑞莎代言_非洲芒果_奇亞籽飲」「非洲芒果種子萃取調節Leptin...藤黃果減少吸收」,1
44,樂視C,「樂視C」「藍光專利…明亮好視野…經由美國國家眼科研究所大型臨床實驗結果…可提供全家人的優視防護」「藍光專利…適合…用『眼』過度者」,1
45,納豆激?、速速光,「速速光」「速速光眼睛的速速光，效果很讚...你吃十天經過補光同時發掘有影喔變很晶、很清、很明...療程...眼睛要顧晶、顧清、顧明」,1
46,醇萃皙飲養顏美容逆齡獨家專案,「對抗老化/活化，淡化各類黑色素、消除皺紋健康回春...經由美國藥物管理局功效證實1.活化人體抗老化基因。2.淡化去除各類黑色素。3.撫平紋路。4.延緩更年期。...美國功效專利預防與改善心臟病、美國功效專利舒緩壓力造成的胃傷害、美國功效專利協助膽固醇降低、美國功效專利預防乙醯氨酚引發的肝毒性」,1
47,「心美力親護系列」,「0-3歲...腸絞痛、脹氣、腹瀉、便秘等不耐受症狀寶寶適用」,1
48,楓之寶金盞花葉黃素,「加拿大楓之寶70年護眼智慧，採用游離型葉黃素液態配方好吸收，保護眼力視野更清更亮，加拿大健康局認證」,1
49,MIND聰明果汁,「MIND聰明果汁」「可提升記憶力、刺激腦細胞增生、防老人痴呆、延緩老化…預防失智」,1
50,褐抑定(小分子褐藻醣膠),「台灣小分子褐藻醣膠…經人體臨床實證…適合癌症輔助…0800-043-388…人體臨床試驗以大腸直腸癌4期患者為標的」,1
51,六六大順、珍珠精、咖啡,「(六六大順)..氧化..都是較天然..他這個就是好大便...這個是天然的肚子不會痛金放心..如果你不通那樣積住了便祕...(珍珠精)日本的珍珠精..不論嬰兒，嬰兒發育會變很快..養不大那種..如果是有孕的婦女..因為母體需要很多營養..鈣質常常流失...出生的嬰兒吃身體勇健...吃2-3月之後你可以看你的指甲還有牙齒更加勇...男生的話最明顯就看鬍鬚...如果老人家有斑點的，皮膚阿也會更水...(咖啡)跟大家介紹醫學健康雜誌研究出來..喝咖啡可以減少心臟病跟心肌梗塞這個大家都知道..還可以預防老人癡呆症這種重大疾病，現在很多人在研究..老人失智症這是很多人都很怕…降低6成以上阿茲海默症跟老人癡呆症的風險，喝咖啡可以增加我們身體一種成分GCSFA，咖啡可以保護我們腦部的蛋白，咖啡一個好處是可以顧肝...喝咖啡可以穩定血糖可以讓人更長壽」,1
52,液體螺旋藻,「提升人體自然防護力，幫助抵禦病毒」,1
53,「亞培倍力素」及「亞培基速得」,「(亞培倍力素)癌友每天食用含有2克魚油EPA營養補給品，可減少體內發炎反應...(亞培基速得)糖尿病引發足部潰瘍且發炎紅腫，壞死組織肩瘡後使用15天肉芽生長明顯根據糖尿病患者使用經驗分享，使用亞培基速得一天兩包連續7天，搭配適當傷口護理，傷口發現差異」,1
54,美人紅米烏龍麵,「黑米...有利心血管健康、預防老化。小米...提高免疫力、養心安神...紅米...使得皮膚抗氧化、預防貧血...增強自體免疫.」,1
55,L112_型男_塑身錠,「塑身…快速斷絕…輕鬆告別…鮪魚肚…誰說減重一定要運動」,1
56,好速纖HELASLIM,「僅僅只需3個月，經臨床實驗證實腹部脂肪面積大幅減少15.3cm2（平方公分）…平均3個月減掉的脂肪量相當於乒乓球13個…獻給真心想瘦下來的男女…帶走腹部脂肪…真的可以集中對抗肚子的肥胖。像我吃了4個月，測出來內臟脂肪從7減到5.9，體脂肪減了5%，體重減了6.8公斤…經過科學證明真的可以減少腹部脂肪…抑制脂肪形成…進行脂肪分解…促進脂肪燃燒…可以有效減重的錠劑食品」,1
57,補體素,「吃不多也會胖…如果你發現『自己明明沒吃太多東西，體重卻增加了』，這就表示你的肌肉衰退得比想像中還要嚴重…補充優質蛋白質，增加肌肉量，是很重要的哦…#提升肌力…攝取足夠蛋白質，不僅預防肌少症，更有助血糖穩定…2017年美國糖尿病學會特別提到，攝取多一點蛋白質不僅可提供飽足感，更有助於提升胰島素敏感性，穩定血糖」「優蛋白增肌為糖尿病友減緩肌少症…養肌防老…『肌少症』來敲門」,1
58,補體素,「吃不多也會胖…如果你發現『自己明明沒吃太多東西，體重卻增加了』，這就表示你的肌肉衰退得比想像中還要嚴重…補充優質蛋白質，增加肌肉量，是很重要的哦…#提升肌力」「攝取足夠蛋白質，不僅預防肌少症，更有助血糖穩定…2017年美國糖尿病學會特別提到，攝取多一點蛋白質不僅可提供飽足感，更有助於提升胰島素敏感性，穩定血糖」,1
59,venus輕纖錠、固捷敏UC-II,「(venus輕纖錠)…『改善腸胃道健康效應之評估』研究，針對70名受試者，包括54名便秘型大腸激躁症患者與16名健康受試者，平均年齡為28.4歲。研究結果發現，大腸激躁症患者在食用奇異果4週後，便秘狀況獲得顯著改善...(固捷敏UC-II)…UC-II?的作用機轉~~殺手T細胞失活~UC-II?可以抑制殺手T細胞的活性，進而停止骨關節炎的發展，使關節有機會癒合並再生...RA類風濕性關節炎---->降低人體自體免疫反應、OA骨關節炎>降低發炎反應產生...C-II見證.膝蓋關節嚴重疼痛（X光片使用前後比較圖）」,1
60,資氧益,「現代人普遍缺氧缺氧是疾病溫床缺氧讓癌症擴散…喝的氧氣…15分鐘提升水中溶氧54%」,1
61,黃金蜆系列,「肝好人生才是彩色…吃蜆顧肝…血壓從原先的200左右降到現在控制在120左右；在痛風方面，從原先每星期打一次止痛針，改善到現在近一年都沒有在打針了」「短短5天~驚人功效立現…喝酒熬夜…後天免疫系統失調形成乾癬…看醫生吃抗生素、抹藥，都沒效…才短短5天…皮膚明顯改善…皮膚發紅、乾癬」,1
62,【光樹果】天然植物萃取錠-活力系列,「讓老化不再等於退化，越老越聰明…各種老年的神經系統問題及疾病，來自於類澱粉蛋白的堆積，然後引發各種病痛，例如：高血壓、腦中風、糖尿病、心臟病、高血脂症等，避免身體器官功能退化而造成疾病」,1
63,速淨纖盈,「速淨纖盈」「有效改善便秘…增強免疫力…燃燒脂肪、利尿…有效降低膽固醇…對脂肪酸、糖尿病、便祕有輔療…胃酸過多有改善作用…緩解便秘…預防骨質疏鬆」,1
64,BELTA白高顆膠囊,「減肥…鎮靜情緒…對抗憂鬱…可改善抑鬱症狀…活化美白肌膚…增強皮膚…彈性…富含雌激素…並具有高抗氧化成分」,1
65,乾杯革命薑黃膠囊,「立即見效…喝酒不用硬拚那麼累一粒解決全部問題…半小時立馬解酒…超強代謝提昇酒量…喝在兇也不宿醉不頭痛…專利技術成分護胃又護肝…征戰酒場不醉王者30分鐘立即有感…宿醉頭痛…肝硬化…2000%超效吸收…熬夜救星…速排酒精…高毒性代謝物…提升肝功能…用最高等級的3A級薑黃專門為分解酒精特製而成，大量製造解酒?，快速減緩酒醉狀態，刺激全身細胞產生能量代謝使血液中乙醇濃度降低，速排酒精…在胃壁與腸道形成保護黏膜，替你減少酒精與熱量吸收高達50%….肝臟5分鐘開始製造解酒?，30分鐘達到有效解酒，73%酒量提升51%酒精殘留下降…0%↓隔天宿醉狀況…不宿醉不頭痛…脂肪肝纖維化硬化肝癌…能針對肝臟細胞進行轉換修復和延緩細胞死亡…下降75%罹患肝病機率…顧肝不會醉…醒酒不宿醉…替肝臟排除毒素」,1
66,澳洲代購蜂膠麥盧卡喉糖、活性蜂蟉麥盧卡口腔噴霧劑、加強版蜂膠,「減緩喉嚨發炎」「適用於感冒喉嚨發炎、幫助提升身體免疫力及口腔健康」「抵抗感冒及口腔病毒」,1
67,天然纖體錠,「..纖體..」,1
68,「100%純天然豐胸飲品」,「#豐胸#大胸部的秘密#純天然#毫無副作用...加強整體乳房結構的堅實和具吸引力的乳房...增加乳房組織以促進乳房升級...保持乳房的青春及抬升乳房...緩解經前期綜合症（PMS)的症狀...保持體內膠原蛋白以恢復皮膚的彈性...緩解皮膚疾病，如痤瘡及皺紋...增加皮膚保水能力...促進骨骼的建設以防止骨質疏鬆症...強大抗氧化（高ORAC)延緩衰老過程...平衡賀爾蒙激素維持乳房堅挺度」,1
69,杜詩梅代言-kkd青纖錠5ex強效版,「杜詩梅口述：...我才從大尺碼到現在M但我都客氣說L，因為剛進到5字頭，我現在其實在59可是我想再往下掉，我想從大碼變一般棉花糖女孩...杜詩梅口述：我最近才在回溯，我好像人生其實巔峰還不是在7字頭...好像在8字頭...然後現在到5字頭…像我是頑固體質，而且試過這麼多的減肥方法…中藥埋線、斷食、蘋果減肥...復胖非常快...而且KKD出現了，一拍即合這個東西有沒有用，用在頑固體質身上就知道...KKD加入之後它會增加我的代謝，它那個爆汗那個排汗量那個體重一直一直好有信心喔...今年開始我接觸KKD之後它在我身上發揮效用了...還有我不用太忌口...我一路下來速度算還不錯成效還不錯」,1
70,視立保草本益明錠,「唯一能跟葉黃素抗衡的護眼營養素，是改善眼睛疲勞、改善視覺清晰度；增強睫狀肌調節力、預防單眼，3C族、銀髮族、乾眼症、夜間視力差者都適用！...（崁入影片）...降低紫外線傷害預防白內障...改善發炎...增強血流保護青光眼視神經...退化性黃斑部病變」,1
